,mean_intensity,entropy,edge_count,average_gradient
Original,106.22448444444444,7.96875,16600.0,22.495946883425383
G-CLAHE,114.396105,7.984375,241240.0,40.300052335313545
CLAHE,114.396105,7.984375,241240.0,40.300052335313545
GHE,112.60953388888889,6.657176180791409,69932.0,29.614255027905184
