,mean_intensity,entropy,edge_count,average_gradient
Original,30.591011904761906,6.591177846162347,4232.0,55.378333062168906
G-CLAHE,67.65255952380953,6.29332405825845,8017.0,124.18659547077321
CLAHE,44.316071428571426,6.835381192039833,6236.0,76.36923779230291
GHE,78.29492063492063,3.852748864465298,7547.0,91.7030067558033
