,mean_intensity,entropy,edge_count,average_gradient
Original,134.72005367279053,7.960937499999999,3726.0,8.61558500116488
G-CLAHE,140.74697303771973,7.968750000000001,13705.0,17.18620901227656
CLAHE,140.74697303771973,7.968750000000001,13705.0,17.18620901227656
GHE,127.50013542175293,7.181948259723219,3674.0,9.315247470573375
