,mean_intensity,entropy,edge_count,average_gradient
Original,142.4444543853255,7.992187500000001,14632.0,23.850148696369217
G-CLAHE,133.24640409555928,7.984375,665323.0,51.25193942109111
CLAHE,130.3219451646351,7.984375,530888.0,46.14095632153341
GHE,127.52378858069018,6.205079886497882,175297.0,33.6773315018379
